# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	5876.4731	0.3535	8001	0.4000	1,2,1	0.5000	25
505	3876.0361	0.2831	8001	0.4000	2,2,1	0.5000	41
477	6081.9717	0.1820	8001	0.4000	3,1,3	0.5000	55
491	4075.1602	0.1300	8001	0.4000	3,3,2	0.5000	62
479	5574.1245	-0.0857	8001	0.4000	3,2,1	0.5000	57
480	7956.0625	0.4021	8001	0.4000	0,3,3	0.5000	15
8589935484	2486.1489	0.4688	7850	0.4000	0,0,0	0.5000	0
482	2187.5413	-0.2269	8001	0.4000	0,0,2	0.5000	2
500	4847.0928	0.2809	8001	0.4000	2,2,0	0.5000	40
4294968165	2917.6992	-0.1994	7950	0.4000	2,3,2	0.5000	46
512	1939.0400	0.0971	8001	0.4000	0,1,2	0.5000	6
503	6146.7998	0.4325	8001	0.4000	0,3,0	0.5000	12
487	4152.5796	-0.2480	8001	0.4000	1,3,3	0.5000	31
508	1116.7700	0.0445	8001	0.4000	0,3,1	0.5000	13
4294967865	5389.6689	0.1746	7700	0.4000	3,1,2	0.5000	54
4294967997	7373.8486	0.3743	7900	0.4000	3,3,0	0.5000	60
8589935287	2210.7002	-0.2999	7800	0.4000	0,0,3	0.5000	3
4294967909	3461.9106	-0.1077	7650	0.4000	2,2,3	0.5000	43
17179869874	4371.8208	-0.0187	7600	0.4000	0,1,2	0.5000	6
4294968083	1664.5649	-0.2819	7550	0.4000	3,1,2	0.5000	54
4294967895	3613.8330	0.4978	7500	0.4000	1,2,0	0.5000	24
4294967841	5811.4194	0.3616	7450	0.4000	1,2,3	0.5000	27
8589935087	2177.8755	0.4744	7400	0.4000	1,1,0	0.5000	20
8589935386	3688.0337	-0.0607	7350	0.4000	2,3,3	0.5000	47
8589935318	3994.7607	0.4385	7300	0.4000	0,3,3	0.5000	15
8589935089	3410.7271	0.3490	7250	0.4000	1,0,0	0.5000	16
8589935490	4295.5996	0.0247	7200	0.4000	0,2,1	0.5000	9
8589935373	6069.9062	0.1460	7150	0.4000	2,3,1	0.5000	45
4294967992	3756.2627	-0.0362	7100	0.4000	0,3,2	0.5000	14
4294967982	6726.0322	0.1539	7050	0.4000	0,3,2	0.5000	14
4294968268	5262.2119	0.1606	7000	0.4000	2,3,2	0.5000	46
4294968259	2012.8975	0.3560	6950	0.4000	0,1,0	0.5000	4
996	1825.2856	0.1389	6900	0.4000	0,1,0	0.5000	4
1024	3523.3169	0.1201	6850	0.4000	2,0,2	0.5000	34
1059	4989.2324	0.4055	6800	0.4000	3,3,1	0.5000	61
1096	279.1342	-0.1281	6750	0.4000	3,0,3	0.5000	51
1129	1018.4634	0.2111	6700	0.4000	1,0,2	0.5000	18
1155	2138.3203	0.3532	6650	0.4000	3,0,1	0.5000	49
1193	4041.2812	-0.1162	6600	0.4000	1,1,0	0.5000	20
1232	4468.0361	0.2243	6550	0.4000	3,0,0	0.5000	48
1273	4874.5469	-0.0569	6500	0.4000	0,2,1	0.5000	9
1308	2989.2788	0.4858	6450	0.4000	0,1,1	0.5000	5
1348	5373.7900	-0.2153	6400	0.4000	3,1,2	0.5000	54
1393	5563.2822	-0.2601	6350	0.4000	3,1,0	0.5000	52
1441	5392.4531	-0.0482	6300	0.4000	0,2,0	0.5000	8
1481	5727.6318	0.4403	6250	0.4000	2,3,0	0.5000	44
1526	2154.8586	-0.1323	6200	0.4000	3,0,3	0.5000	51
1574	1817.1260	0.0070	6150	0.4000	2,0,0	0.5000	32
1617	4068.4268	-0.1892	6100	0.4000	3,1,3	0.5000	55
1667	4783.3516	-0.2439	6050	0.4000	2,3,3	0.5000	47
1715	3244.8159	-0.0829	6000	0.4000	1,0,0	0.5000	16
1764	3660.8232	0.2078	5950	0.4000	3,2,3	0.5000	59
