tick	kind	agent_a	agent_b	value
14	venture_failure	514	512	-0.296630
15	relationship_created	501	506	0.150000
15	venture_success	501	506	0.150000
15	relationship_created	507	514	0.150000
15	venture_success	507	514	0.150000
15	venture_failure	508	510	-0.198806
15	venture_success	509	511	0.052374
15	venture_success	510	505	0.051194
15	venture_failure	512	511	-0.198411
16	venture_failure	503	509	-0.198214
16	relationship_created	508	509	-0.100000
16	venture_failure	508	509	-0.100000
16	relationship_created	509	510	-0.100000
16	venture_failure	509	510	-0.100000
16	venture_failure	510	501	-0.294669
16	relationship_created	510	512	0.150000
16	venture_success	512	510	0.150000
16	venture_failure	515	514	-0.297614
17	venture_failure	502	510	-0.197236
17	venture_failure	505	504	-0.197042
17	venture_success	510	506	0.052569
17	venture_failure	512	502	0.487542
17	relationship_created	504	514	-0.100000
17	venture_failure	514	504	-0.100000
18	venture_failure	502	505	0.048506
18	relationship_created	504	506	-0.100000
18	venture_failure	504	506	-0.100000
18	relationship_created	505	507	-0.100000
18	venture_failure	507	505	-0.100000
18	venture_success	508	512	0.051982
18	venture_failure	511	507	-0.196654
18	relationship_created	513	515	-0.100000
18	venture_failure	515	513	-0.100000
19	venture_success	504	514	0.050400
19	relationship_created	505	513	-0.100000
19	venture_failure	505	513	-0.100000
19	venture_failure	509	512	-0.196848
19	venture_failure	510	512	0.049102
19	relationship_created	501	515	0.150000
19	venture_success	515	501	0.150000
20	venture_failure	506	513	0.093515
20	venture_failure	511	509	-0.048148
20	venture_failure	514	508	0.047322
21	venture_failure	505	514	-0.292729
21	relationship_created	503	510	-0.100000
21	venture_failure	510	503	-0.100000
21	venture_failure	511	508	-0.292923
21	venture_success	512	509	-0.046061
21	venture_failure	513	506	-0.006672
22	venture_failure	501	513	-0.197626
22	relationship_created	506	512	0.150000
22	venture_success	506	512	0.150000
22	venture_failure	507	508	-0.197822
22	venture_failure	509	507	-0.294865
22	venture_failure	512	502	0.382686
22	venture_failure	515	514	-0.394060
23	venture_success	501	508	0.052374
23	relationship_created	502	503	-0.100000
23	venture_failure	503	502	-0.100000
23	venture_failure	504	507	-0.196268
23	venture_success	506	511	-0.045448
23	relationship_created	505	509	-0.100000
23	venture_failure	509	505	-0.100000
24	venture_failure	503	505	-0.196848
24	relationship_created	504	508	-0.100000
24	venture_failure	504	508	-0.100000
24	venture_failure	506	501	0.047322
24	venture_failure	507	506	-0.002574
24	relationship_created	509	514	-0.100000
24	venture_failure	514	509	-0.100000
25	relationship_created	509	515	-0.100000
25	venture_failure	509	515	-0.100000
25	relationship_created	507	510	0.150000
25	venture_success	510	507	0.150000
25	venture_failure	511	508	-0.390586
25	relationship_created	513	514	-0.100000
25	venture_failure	514	513	-0.100000
26	venture_failure	502	509	-0.146890
26	venture_failure	503	512	-0.197236
26	venture_success	506	508	0.296439
26	venture_failure	508	515	-0.052731
26	venture_failure	509	503	-0.294286
26	venture_failure	510	515	-0.195309
26	venture_failure	511	513	-0.053691
26	venture_failure	513	514	-0.199800
27	venture_failure	501	503	-0.292931
27	venture_failure	506	511	-0.145086
27	relationship_created	502	507	-0.100000
27	venture_failure	507	502	-0.100000
27	venture_success	508	506	0.445846
27	venture_failure	513	514	-0.299400
27	venture_success	515	511	0.197745
27	agent_death	514	0	0.000000
27	relationship_destroyed	503	514	0.000000
27	relationship_destroyed	501	514	0.000000
27	relationship_destroyed	505	514	0.000000
27	relationship_destroyed	512	514	0.000000
27	relationship_destroyed	502	514	0.000000
27	relationship_destroyed	511	514	0.000000
27	relationship_destroyed	514	515	0.000000
27	relationship_destroyed	506	514	0.000000
27	relationship_destroyed	508	514	0.000000
27	relationship_destroyed	507	514	0.000000
27	relationship_destroyed	504	514	0.000000
27	relationship_destroyed	509	514	0.000000
27	relationship_destroyed	513	514	0.000000
28	venture_failure	505	512	-0.050809
28	relationship_created	505	508	0.150000
28	venture_success	508	505	0.150000
28	venture_failure	510	505	-0.050121
28	venture_failure	513	502	0.042963
28	venture_success	515	501	0.297322
29	relationship_created	501	512	-0.100000
29	venture_failure	501	512	-0.100000
29	venture_success	510	515	-0.044139
29	relationship_created	503	513	-0.100000
29	venture_failure	513	503	-0.100000
30	venture_failure	501	513	-0.294486
30	relationship_created	503	507	-0.100000
30	venture_failure	503	507	-0.100000
30	venture_failure	506	509	-0.148888
30	venture_failure	509	505	-0.198608
30	venture_success	510	507	0.298506
30	venture_failure	511	509	-0.147194
31	venture_failure	507	505	-0.197431
31	venture_failure	510	505	-0.149821
32	relationship_created	502	508	-0.100000
32	venture_failure	502	508	-0.100000
32	venture_failure	503	510	-0.197822
32	venture_success	510	507	0.447313
33	venture_success	501	509	0.292963
33	venture_failure	502	503	-0.198018
33	venture_failure	507	508	-0.293513
33	venture_failure	510	512	-0.052255
34	venture_failure	502	512	0.273602
34	venture_success	506	512	0.296439
34	venture_success	510	507	0.595526
35	relationship_created	501	502	-0.100000
35	venture_failure	501	502	-0.100000
35	relationship_created	503	506	0.150000
35	venture_success	503	506	0.150000
35	venture_success	505	502	0.196883
35	relationship_created	502	511	-0.100000
35	venture_failure	511	502	-0.100000
35	venture_failure	512	501	-0.198806
36	venture_failure	502	505	0.096489
36	venture_failure	504	503	-0.287971
36	venture_success	509	510	0.053925
36	venture_success	510	507	0.743146
36	venture_failure	511	502	-0.199800
36	venture_failure	513	510	0.040130
36	venture_failure	515	513	-0.196461
36	agent_death	501	0	0.000000
36	relationship_destroyed	501	510	0.000000
36	relationship_destroyed	501	507	0.000000
36	relationship_destroyed	501	503	0.000000
36	relationship_destroyed	501	509	0.000000
36	relationship_destroyed	501	513	0.000000
36	relationship_destroyed	501	504	0.000000
36	relationship_destroyed	501	508	0.000000
36	relationship_destroyed	501	511	0.000000
36	relationship_destroyed	501	506	0.000000
36	relationship_destroyed	501	515	0.000000
36	relationship_destroyed	501	512	0.000000
36	relationship_destroyed	501	502	0.000000
37	venture_failure	515	507	-0.192860
37	venture_success	502	512	0.421963
37	venture_failure	504	502	-0.192860
37	venture_failure	506	509	-0.246816
37	venture_failure	510	515	-0.143438
37	venture_success	511	506	0.007790
37	venture_failure	512	502	0.321963
38	venture_success	502	504	-0.042475
38	venture_failure	505	515	-0.193982
38	venture_failure	506	508	0.336135
38	venture_failure	507	512	-0.193795
38	venture_success	511	509	0.005145
39	venture_failure	502	510	-0.288738
39	relationship_created	505	506	-0.100000
39	venture_failure	506	505	-0.100000
39	venture_failure	508	505	0.046733
39	venture_success	511	503	0.289849
39	venture_success	512	510	0.098369
39	relationship_created	507	513	0.150000
39	venture_success	513	507	0.150000
40	venture_failure	515	509	-0.197042
40	venture_failure	502	510	-0.388160
40	venture_failure	508	510	-0.289101
40	venture_success	511	513	0.097793
40	venture_success	512	502	0.470036
41	venture_success	503	507	0.052178
41	venture_success	505	513	0.054309
41	venture_success	506	510	0.200103
42	relationship_created	504	513	-0.100000
42	venture_failure	504	513	-0.100000
42	venture_failure	506	509	-0.344357
43	relationship_created	512	515	0.150000
43	venture_success	515	512	0.150000
43	venture_failure	504	515	-0.194360
43	venture_success	508	503	0.056018
43	venture_failure	511	502	-0.297020
44	venture_failure	502	515	0.178871
44	venture_failure	508	507	-0.387120
44	venture_success	513	511	0.247013
45	venture_failure	502	508	-0.197431
45	venture_failure	503	508	-0.044206
45	relationship_created	504	510	-0.100000
45	venture_failure	504	510	-0.100000
45	venture_failure	508	506	0.231458
45	venture_success	509	508	0.055640
45	venture_success	511	506	0.157666
46	venture_success	515	504	-0.043196
46	venture_failure	502	513	-0.058557
46	venture_failure	504	515	-0.143196
46	venture_success	506	502	-0.034610
46	venture_failure	513	503	-0.196654
47	venture_failure	502	504	-0.141716
47	venture_failure	505	504	-0.285556
47	venture_failure	507	502	-0.196075
47	relationship_created	510	511	0.150000
47	venture_success	510	511	0.150000
48	venture_failure	515	502	0.077445
48	venture_success	502	512	0.612567
48	venture_failure	504	508	-0.195309
48	venture_failure	505	506	-0.198214
48	venture_failure	508	505	-0.054102
48	venture_failure	509	512	-0.143637
48	venture_failure	511	502	-0.394061
48	venture_success	512	505	0.101185
48	venture_success	513	505	0.203553
49	venture_failure	515	512	0.048209
49	venture_failure	502	512	0.511342
49	relationship_created	503	515	0.150000
49	venture_success	503	515	0.150000
49	venture_failure	506	513	-0.106308
49	venture_success	509	510	0.202540
49	venture_failure	512	502	0.411342
49	venture_failure	513	506	-0.206308
50	venture_success	515	512	0.198113
50	venture_success	504	505	-0.133846
50	venture_success	510	507	0.872606
50	venture_failure	511	515	0.088846
50	venture_failure	512	510	-0.003774
50	relationship_created	508	513	0.150000
50	venture_success	513	508	0.150000
50	agent_birth	4294967862	0	122.499237
51	venture_failure	503	506	0.045271
51	venture_failure	505	503	-0.286490
51	venture_success	508	506	0.378694
51	venture_failure	509	507	-0.378234
51	venture_success	511	507	-0.034082
51	relationship_created	512	4294967862	-0.100000
51	venture_failure	512	4294967862	-0.100000
51	venture_success	513	505	0.352334
51	relationship_created	505	4294967862	-0.100000
51	venture_failure	4294967862	505	-0.100000
52	venture_failure	503	510	-0.290058
52	venture_success	507	505	-0.039303
52	venture_failure	510	511	0.048506
52	venture_failure	511	505	-0.190113
53	venture_failure	502	512	0.308061
53	venture_failure	504	515	-0.241203
53	venture_failure	506	503	-0.054910
53	venture_success	507	510	1.000000
53	relationship_created	507	4294967862	-0.100000
53	venture_failure	4294967862	507	-0.100000
54	venture_success	515	508	0.100144
54	venture_failure	503	505	-0.384774
54	venture_success	504	506	0.056954
54	venture_success	506	515	0.058615
54	venture_success	507	510	1.000000
54	relationship_created	508	4294967862	-0.100000
54	venture_failure	508	4294967862	-0.100000
54	venture_failure	509	510	0.100522
54	relationship_created	502	4294967862	-0.100000
54	venture_failure	4294967862	502	-0.100000
55	venture_failure	502	512	0.206830
55	venture_failure	507	505	-0.139067
55	venture_failure	512	510	-0.103736
55	venture_success	513	510	0.188632
56	venture_success	502	505	0.242702
56	venture_failure	506	509	-0.434840
56	venture_failure	508	506	0.274922
56	venture_failure	510	513	0.088255
56	venture_success	512	505	0.249578
56	venture_failure	513	503	-0.292756
56	relationship_created	509	4294967862	-0.100000
56	venture_failure	4294967862	509	-0.100000
57	venture_success	505	515	-0.036742
57	venture_failure	507	506	-0.102410
57	venture_failure	509	510	-0.000080
57	venture_failure	510	505	-0.242222
57	venture_failure	511	502	-0.487025
57	venture_failure	513	503	-0.392170
57	agent_death	503	0	0.000000
57	relationship_destroyed	503	504	0.000000
57	relationship_destroyed	503	506	0.000000
57	relationship_destroyed	503	511	0.000000
57	relationship_destroyed	503	509	0.000000
57	relationship_destroyed	503	505	0.000000
57	relationship_destroyed	503	507	0.000000
57	relationship_destroyed	502	503	0.000000
57	relationship_destroyed	503	513	0.000000
57	relationship_destroyed	503	508	0.000000
57	relationship_destroyed	503	512	0.000000
57	relationship_destroyed	503	510	0.000000
57	relationship_destroyed	503	515	0.000000
58	venture_failure	515	506	-0.041852
58	venture_failure	502	515	-0.024090
58	venture_failure	504	513	-0.196848
58	venture_success	505	513	0.497431
58	venture_success	509	510	0.149920
58	venture_success	510	507	1.000000
58	venture_failure	511	512	-0.282045
58	venture_failure	513	507	0.044401
59	venture_failure	504	509	-0.053760
59	venture_success	506	510	0.343020
59	venture_failure	507	4294967862	-0.198806
59	venture_failure	508	4294967862	-0.199004
59	agent_death	504	0	0.000000
59	relationship_destroyed	502	504	0.000000
59	relationship_destroyed	504	505	0.000000
59	relationship_destroyed	504	507	0.000000
59	relationship_destroyed	504	511	0.000000
59	relationship_destroyed	504	512	0.000000
59	relationship_destroyed	504	508	0.000000
59	relationship_destroyed	504	513	0.000000
59	relationship_destroyed	504	506	0.000000
59	relationship_destroyed	504	509	0.000000
59	relationship_destroyed	504	510	0.000000
59	relationship_destroyed	504	515	0.000000
60	venture_failure	515	507	-0.284181
60	venture_success	4294967862	512	0.051786
60	venture_success	507	510	1.000000
60	venture_failure	509	513	-0.191020
60	venture_success	510	513	0.237551
60	venture_failure	511	507	-0.133473
61	venture_success	502	513	0.093175
61	venture_success	510	513	0.387075
61	venture_failure	512	509	-0.239947
62	venture_failure	502	511	-0.582174
62	venture_failure	4294967862	512	-0.048421
62	venture_failure	513	505	0.393464
62	venture_failure	512	510	-0.202293
63	venture_success	502	513	0.242803
63	venture_success	513	502	0.392803
63	venture_success	507	510	1.000000
63	venture_failure	511	513	0.137794
63	venture_success	512	505	0.396104
64	venture_failure	502	506	-0.133385
64	venture_failure	512	502	0.103137
65	relationship_created	515	4294967862	-0.100000
65	venture_failure	4294967862	515	-0.100000
65	venture_success	506	507	0.049218
65	venture_success	507	510	1.000000
66	venture_success	502	512	0.252725
66	relationship_created	510	4294967862	-0.100000
66	venture_failure	4294967862	510	-0.100000
66	venture_failure	513	502	0.290450
66	venture_failure	507	510	0.898000
66	venture_failure	509	511	-0.095135
66	venture_failure	512	511	-0.377564
67	venture_failure	509	4294967862	-0.197822
67	venture_failure	510	506	0.237570
67	venture_failure	512	505	0.292945
68	venture_success	515	502	0.126387
68	venture_failure	4294967862	509	-0.297426
68	venture_success	513	505	0.538766
68	venture_failure	507	510	0.794412
68	venture_failure	510	4294967862	-0.199600
68	venture_failure	511	502	-0.675222
68	venture_success	512	515	0.341101
69	venture_success	515	508	0.247181
69	venture_success	508	510	-0.122794
69	venture_success	512	515	0.490418
70	venture_failure	502	507	-0.287251
70	relationship_created	513	4294967862	0.150000
70	venture_success	4294967862	513	0.150000
70	venture_success	513	508	0.294113
70	venture_failure	505	502	0.135994
70	venture_failure	506	502	-0.231792
70	venture_failure	508	512	-0.053157
70	venture_failure	511	509	-0.194377
70	venture_failure	512	505	0.191191
71	venture_failure	515	509	-0.285185
71	venture_success	502	513	0.437558
71	venture_success	4294967862	507	-0.044087
71	venture_success	513	4294967862	0.299700
71	venture_failure	505	502	0.035722
71	venture_failure	508	505	-0.151667
72	venture_success	515	506	0.109304
72	venture_success	4294967862	507	0.106001
72	venture_failure	505	502	-0.064349
72	venture_failure	509	506	-0.521132
72	venture_success	511	515	0.235018
72	venture_failure	512	515	0.387482
73	venture_failure	502	513	0.335809
73	venture_success	4294967862	507	0.255789
73	venture_success	513	4294967862	0.448502
73	venture_failure	505	515	-0.135584
73	relationship_created	506	4294967862	-0.100000
73	venture_failure	506	4294967862	-0.100000
73	venture_failure	507	508	-0.465285
73	venture_success	510	507	0.936499
73	venture_success	511	509	-0.043213
