# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
35492	2544.2534	0.3803	12360	0.4000	2,2,0	0.5000	40
492	1538.3081	-0.0030	18001	0.4000	0,0,3	0.5000	3
4294967882	935.4463	-0.2395	17980	0.4000	0,0,2	0.5000	2
478	3594.0400	0.4331	18001	0.4000	3,2,3	0.5000	59
40936	723.5454	0.2944	11940	0.4000	0,1,3	0.5000	7
49608	1566.2480	0.2045	11280	0.4000	3,2,1	0.5000	57
56231	1375.5588	0.3482	10740	0.4000	3,2,0	0.5000	56
15030	1991.5671	0.0690	14340	0.4000	0,2,3	0.5000	11
7343	1458.8894	0.2636	15440	0.4000	1,3,2	0.5000	30
4294967942	5653.3848	0.1289	17820	0.4000	3,0,3	0.5000	51
4294968825	1147.0227	-0.1698	4660	0.4000	0,3,1	0.5000	13
25882	48.2339	0.2599	13200	0.4000	1,3,2	0.5000	30
1909	5032.7998	0.0492	16740	0.4000	0,0,1	0.5000	1
24860	4414.7520	0.2178	13300	0.4000	0,3,2	0.5000	14
57813	649.2773	0.3730	10620	0.4000	0,3,1	0.5000	13
10489	1344.6047	-0.0747	14940	0.4000	3,2,3	0.5000	59
44619	1780.4412	0.3959	11660	0.4000	3,2,1	0.5000	57
60865	1907.3965	0.1132	10280	0.4000	3,2,0	0.5000	56
49088	2587.4470	0.2186	11320	0.4000	3,2,0	0.5000	56
12884917347	2868.1448	0.2429	5020	0.4000	3,2,1	0.5000	57
12884963160	840.9464	0.3889	9580	0.4000	0,2,3	0.5000	11
4294967996	2884.3027	0.1583	17580	0.4000	3,2,3	0.5000	59
35032	1018.1631	-0.2056	12400	0.4000	3,3,0	0.5000	60
4295010566	549.7584	0.2579	220	0.4000	1,0,1	0.5000	17
33150	1061.1487	-0.1939	12560	0.4000	3,2,1	0.5000	57
50184	549.5212	0.0570	11240	0.4000	2,3,3	0.5000	47
50726	868.0537	0.1150	11200	0.4000	2,3,1	0.5000	45
4294968126	347.0996	-0.0935	17400	0.4000	3,3,1	0.5000	61
12884968590	4247.5557	0.0243	5120	0.4000	0,2,3	0.5000	11
24652	1997.0120	0.4954	13320	0.4000	3,1,0	0.5000	52
4294968224	1675.9824	-0.0517	17300	0.4000	0,0,2	0.5000	2
4295002775	2429.1680	-0.0790	4740	0.4000	3,2,2	0.5000	58
46436	324.3916	0.3761	11520	0.4000	0,3,1	0.5000	13
48542	939.0298	0.3916	11360	0.4000	2,3,3	0.5000	47
37025	324.0945	0.2710	12240	0.4000	0,3,3	0.5000	15
43551	430.9023	0.0598	11740	0.4000	2,0,2	0.5000	34
4295011693	1301.5527	-0.2239	5260	0.4000	2,0,1	0.5000	33
2667	3153.3203	0.1404	16480	0.4000	0,2,3	0.5000	11
8589980813	1983.6875	-0.0468	5220	0.4000	3,2,0	0.5000	56
4294993411	1758.6201	-0.2563	4600	0.4000	2,3,3	0.5000	47
12884953962	2927.1335	-0.2614	4880	0.4000	2,1,2	0.5000	38
8408	817.5916	0.4379	15260	0.4000	3,3,1	0.5000	61
21474857599	288.3074	-0.1935	5280	0.4000	3,3,0	0.5000	60
28597	659.2910	-0.1088	12960	0.4000	2,3,2	0.5000	46
58664	2061.6094	0.2896	10560	0.4000	3,1,1	0.5000	53
4295006418	2781.8855	0.3150	4340	0.4000	2,0,0	0.5000	32
4295001101	1515.3561	0.0928	540	0.4000	2,3,0	0.5000	44
1493	1333.3955	0.2762	16920	0.4000	3,0,3	0.5000	51
26344	109.4678	0.0804	13160	0.4000	1,2,3	0.5000	27
33610	2624.7495	0.2331	12520	0.4000	3,2,0	0.5000	56
42515	3531.9292	-0.2143	11820	0.4000	2,2,3	0.5000	43
1956	1782.1436	0.4963	16720	0.4000	3,2,2	0.5000	58
41209	1217.3047	-0.1197	11920	0.4000	1,2,3	0.5000	27
30877	1600.0947	0.2238	12760	0.4000	3,3,3	0.5000	63
8589980728	48.6136	0.2066	4980	0.4000	0,3,0	0.5000	12
12884941812	2092.6499	0.0672	4960	0.4000	2,1,1	0.5000	37
4294981791	3680.1558	0.2934	4100	0.4000	3,2,0	0.5000	56
4294996774	2362.8682	0.3185	4580	0.4000	3,1,1	0.5000	53
17179920243	2365.9829	0.1361	4820	0.4000	2,2,0	0.5000	40
12884902471	856.2532	-0.2701	4800	0.4000	2,1,0	0.5000	36
8589973153	1710.0479	0.1639	4760	0.4000	0,0,0	0.5000	0
8589971413	2092.1528	-0.1213	4720	0.4000	3,0,3	0.5000	51
8589969470	2408.2822	0.3018	4700	0.4000	3,2,2	0.5000	58
4295010743	537.1445	0.3680	4680	0.4000	3,0,1	0.5000	49
8589970085	736.5465	0.4305	4640	0.4000	3,0,0	0.5000	48
4295006122	2877.2847	0.3113	4540	0.4000	2,2,0	0.5000	40
17179920204	723.2631	0.4866	4560	0.4000	0,0,3	0.5000	3
4295016428	870.3692	0.1669	4520	0.4000	3,0,1	0.5000	49
