# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	1023.4731	0.3535	10001	0.4000	1,2,1	0.5000	25
492	3275.3081	-0.0030	10001	0.4000	0,0,3	0.5000	3
4294967882	3481.4463	-0.2395	9980	0.4000	0,0,2	0.5000	2
478	4424.0400	0.4331	10001	0.4000	3,2,3	0.5000	59
479	294.1245	-0.0857	10001	0.4000	3,2,1	0.5000	57
491	655.1602	0.1300	10001	0.4000	3,3,2	0.5000	62
56231	2777.5588	0.3482	2740	0.4000	3,2,0	0.5000	56
58379	1738.3926	0.4007	2580	0.4000	2,0,1	0.5000	33
62835	973.2644	0.2368	2040	0.4000	3,0,0	0.5000	48
4294967942	3308.3848	0.1289	9820	0.4000	3,0,3	0.5000	51
485	916.4526	0.1717	10001	0.4000	2,0,3	0.5000	35
55950	1140.0554	0.3572	2760	0.4000	2,3,3	0.5000	47
48294	2146.6785	-0.2538	3380	0.4000	3,3,2	0.5000	62
12884902463	631.8264	0.0497	9640	0.4000	3,0,1	0.5000	49
12884902555	1698.3396	0.1242	9680	0.4000	3,3,2	0.5000	62
4294967803	1288.8198	0.4442	9760	0.4000	3,3,2	0.5000	62
21474872770	40.6697	0.2171	100	0.4000	0,1,2	0.5000	6
60865	1836.3964	0.1132	2280	0.4000	3,2,0	0.5000	56
49088	1651.4470	0.2186	3320	0.4000	3,2,0	0.5000	56
17179869811	1796.2139	0.2627	9620	0.4000	3,2,1	0.5000	57
21474837110	508.0466	0.3953	9600	0.4000	3,2,2	0.5000	58
4294967996	3893.3027	0.1583	9580	0.4000	3,2,3	0.5000	59
906	367.9521	-0.2297	9320	0.4000	1,1,3	0.5000	23
45393	1387.8906	0.1954	3600	0.4000	2,2,2	0.5000	42
51269	1056.2297	0.4618	3160	0.4000	0,3,1	0.5000	13
57274	1475.9226	0.2683	2660	0.4000	1,3,3	0.5000	31
50726	1915.0537	0.1150	3200	0.4000	2,3,1	0.5000	45
4294968126	2378.0996	-0.0935	9400	0.4000	3,3,1	0.5000	61
64889	555.7939	0.2709	1820	0.4000	2,1,0	0.5000	36
59707	1388.7462	-0.2795	2480	0.4000	0,0,2	0.5000	2
4294968224	3104.9824	-0.0517	9300	0.4000	0,0,2	0.5000	2
936	2204.0503	-0.0190	9280	0.4000	1,0,2	0.5000	18
8589982738	18.7901	-0.1862	20	0.4000	1,2,3	0.5000	27
48542	1884.0298	0.3916	3360	0.4000	2,3,3	0.5000	47
8589964232	343.8744	-0.1664	1700	0.4000	0,3,2	0.5000	14
1050	1862.8623	-0.1408	9200	0.4000	0,2,2	0.5000	10
1085	1343.4343	0.1538	9180	0.4000	0,0,1	0.5000	1
1120	107.3074	0.4412	9160	0.4000	2,0,1	0.5000	33
1149	877.4487	-0.0369	9140	0.4000	3,3,2	0.5000	62
1450	712.4827	-0.2740	8960	0.4000	0,2,1	0.5000	9
1214	1150.9404	-0.0905	9080	0.4000	0,1,2	0.5000	6
1257	949.5039	0.2344	9060	0.4000	0,0,1	0.5000	1
4294993914	621.7489	0.2578	2260	0.4000	2,0,2	0.5000	34
47505	553.3176	0.0169	3440	0.4000	0,2,1	0.5000	9
1362	544.8420	-0.1212	9000	0.4000	3,0,1	0.5000	49
1407	1571.2666	0.4068	8980	0.4000	1,2,0	0.5000	24
52393	962.3840	0.2439	3080	0.4000	0,3,0	0.5000	12
1493	2110.3955	0.2762	8920	0.4000	3,0,3	0.5000	51
4294971200	1014.3181	0.4318	2920	0.4000	3,1,2	0.5000	54
1591	1277.0244	0.2637	8880	0.4000	3,2,1	0.5000	57
55389	1967.5430	-0.0101	2800	0.4000	1,3,3	0.5000	31
51006	168.5957	0.3080	3180	0.4000	1,3,1	0.5000	29
53530	1488.5347	-0.0317	2980	0.4000	1,3,3	0.5000	31
54316	708.4910	-0.2919	2880	0.4000	1,3,0	0.5000	28
1816	89.4490	0.0024	8780	0.4000	2,2,1	0.5000	41
50450	1576.3408	0.1640	3220	0.4000	2,0,2	0.5000	34
1909	1665.7998	0.0492	8740	0.4000	0,0,1	0.5000	1
1956	2256.1436	0.4963	8720	0.4000	3,2,2	0.5000	58
2006	1346.7534	0.2768	8700	0.4000	3,0,1	0.5000	49
2065	950.3044	0.3476	8680	0.4000	1,0,3	0.5000	19
46182	45.8394	0.4913	3540	0.4000	3,2,0	0.5000	56
2173	1580.8694	-0.0804	8640	0.4000	0,0,2	0.5000	2
2241	1308.0994	0.0639	8620	0.4000	3,0,1	0.5000	49
47773	1517.0745	-0.1501	3420	0.4000	2,2,2	0.5000	42
46977	374.1353	-0.2099	3480	0.4000	0,3,3	0.5000	15
56975	1083.4966	-0.2167	2680	0.4000	1,0,2	0.5000	18
62144	980.6814	0.1297	2140	0.4000	1,2,0	0.5000	24
