# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
25769804565	770.5262	-0.0262	3350	0.4000	1,1,3	0.5000	23
30064772873	461.4256	0.0559	100	0.4000	3,3,0	0.5000	60
25769804270	688.6094	0.3074	4250	0.4000	1,1,3	0.5000	23
25769808858	1123.8872	-0.2722	1450	0.4000	2,1,2	0.5000	38
25769811851	1349.9498	-0.0468	2100	0.4000	0,1,3	0.5000	7
17179870367	1294.3021	-0.1499	2800	0.4000	3,2,2	0.5000	58
21474840554	1077.0974	-0.2883	2550	0.4000	3,0,3	0.5000	51
21474843158	2358.5667	-0.0014	1600	0.4000	3,2,1	0.5000	57
21474841189	1128.8735	0.4312	3450	0.4000	3,1,3	0.5000	55
17179875850	374.3680	-0.1847	3650	0.4000	2,2,3	0.5000	43
21474840514	275.2110	0.0711	4500	0.4000	2,0,3	0.5000	35
17179877098	890.5333	0.4690	2450	0.4000	3,3,3	0.5000	63
21474838232	832.3553	0.3454	3100	0.4000	3,2,2	0.5000	58
12884909665	1208.3416	0.1470	2500	0.4000	1,1,1	0.5000	21
21474844170	724.3771	0.3414	3850	0.4000	2,1,2	0.5000	38
25769809121	753.3780	0.3903	6000	0.4000	1,2,1	0.5000	25
25769811678	624.0319	-0.2946	3200	0.4000	0,0,3	0.5000	3
17179874955	941.0559	-0.0269	4200	0.4000	0,0,1	0.5000	1
34359740921	795.2231	-0.1174	150	0.4000	3,2,3	0.5000	59
17179875517	663.8416	0.2529	4400	0.4000	2,1,3	0.5000	39
17179875456	193.6462	0.0666	6050	0.4000	2,2,1	0.5000	41
21474841917	900.8926	0.4393	3000	0.4000	1,2,1	0.5000	25
25769809508	815.6748	0.3935	4300	0.4000	0,0,0	0.5000	0
30064774503	2081.5562	0.3380	1200	0.4000	3,1,3	0.5000	55
30064776591	504.9922	0.3045	3750	0.4000	0,1,2	0.5000	6
25769806833	458.1083	0.2707	5500	0.4000	2,3,0	0.5000	44
17179875630	452.4886	-0.0431	6900	0.4000	2,0,3	0.5000	35
25769809698	1484.4211	-0.1928	1700	0.4000	2,3,3	0.5000	47
21474844452	1033.7845	-0.0673	3300	0.4000	2,0,2	0.5000	34
25769809953	1569.9277	0.4961	2600	0.4000	0,0,3	0.5000	3
30064776456	3414.3628	0.3827	1800	0.4000	3,2,2	0.5000	58
21474841963	1052.0847	-0.2930	2200	0.4000	3,1,2	0.5000	54
25769811872	1912.5720	0.0373	1500	0.4000	3,1,0	0.5000	52
21474844358	1507.8287	-0.2908	1850	0.4000	2,1,0	0.5000	36
17179871646	821.7687	0.0618	5650	0.4000	2,3,3	0.5000	47
25769811865	2152.5981	-0.0519	2300	0.4000	3,2,2	0.5000	58
21474841950	1531.2157	0.3409	500	0.4000	3,2,2	0.5000	58
21474842033	2232.7222	0.2736	1750	0.4000	2,1,0	0.5000	36
25769806480	782.0919	0.1013	3250	0.4000	3,1,0	0.5000	52
42949673659	1582.4939	-0.0837	2650	0.4000	0,1,2	0.5000	6
21474842519	914.2314	0.0990	2700	0.4000	1,1,1	0.5000	21
21474838732	1428.9810	-0.2758	1550	0.4000	2,3,0	0.5000	44
25769810733	1461.0726	0.3152	600	0.4000	1,2,0	0.5000	24
25769806213	350.9028	0.2815	3900	0.4000	2,3,0	0.5000	44
21474841922	920.2263	-0.0559	4150	0.4000	3,0,1	0.5000	49
47244645429	1949.1597	0.3259	1250	0.4000	3,0,2	0.5000	50
21474843290	1347.0732	0.1258	1900	0.4000	2,1,1	0.5000	37
30064774580	539.9557	0.1287	5000	0.4000	0,3,1	0.5000	13
25769805131	659.6627	0.2327	3400	0.4000	2,3,2	0.5000	46
21474841401	1775.3607	0.3077	950	0.4000	0,0,1	0.5000	1
25769806553	90.0241	0.3660	4850	0.4000	2,3,0	0.5000	44
34359742792	2190.8691	0.2465	1150	0.4000	0,1,1	0.5000	5
21474843306	126.7954	-0.0089	7550	0.4000	0,2,0	0.5000	8
25769809363	2340.3525	0.2559	900	0.4000	3,2,0	0.5000	56
17179876290	661.8653	0.4181	4050	0.4000	2,3,1	0.5000	45
38654706205	1612.0746	0.4309	700	0.4000	2,0,1	0.5000	33
38654707493	2066.3945	-0.0959	1400	0.4000	1,2,0	0.5000	24
21474841680	220.2124	0.4479	4550	0.4000	2,0,3	0.5000	35
21474840007	295.5738	-0.1254	2850	0.4000	2,2,0	0.5000	40
30064775204	1137.6833	-0.2466	1300	0.4000	2,1,1	0.5000	37
21474844015	927.5770	0.0139	3800	0.4000	0,3,1	0.5000	13
17179874342	1412.0911	0.2915	1050	0.4000	0,3,3	0.5000	15
21474843439	245.3949	-0.1577	4800	0.4000	1,1,1	0.5000	21
25769805039	3051.1226	-0.0070	1350	0.4000	3,0,1	0.5000	49
34359742229	1002.5576	0.4247	1650	0.4000	0,0,0	0.5000	0
17179873053	520.7254	-0.2099	4450	0.4000	3,0,0	0.5000	48
25769809092	1366.5557	-0.0565	2400	0.4000	3,0,0	0.5000	48
34359744426	1291.6744	-0.2706	2750	0.4000	2,1,2	0.5000	38
21474841551	677.3580	0.4778	3700	0.4000	2,3,2	0.5000	46
21474838008	1787.1012	-0.1900	850	0.4000	0,3,3	0.5000	15
34359745922	288.2060	0.0171	4600	0.4000	1,0,2	0.5000	18
25769808398	473.9322	0.1376	6250	0.4000	3,3,1	0.5000	61
21474844231	2071.8152	-0.1724	2000	0.4000	3,0,3	0.5000	51
25769808269	2239.4194	0.4761	2350	0.4000	3,1,1	0.5000	53
