# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4403	1613.5782	-0.0061	1400	0.4000	0,0,1	0.5000	1
4483	1819.1560	0.3719	1350	0.4000	3,3,2	0.5000	62
4294971008	2481.5322	-0.0395	1250	0.4000	1,3,2	0.5000	30
4677	2209.7466	0.4727	1200	0.4000	2,3,1	0.5000	45
4757	2021.1851	0.1770	1150	0.4000	1,2,1	0.5000	25
4850	2795.2515	0.4718	1100	0.4000	1,0,3	0.5000	19
4945	1657.6986	0.0363	1050	0.4000	2,0,2	0.5000	34
5036	1784.0599	-0.1499	1000	0.4000	0,0,0	0.5000	0
5131	2165.4355	-0.2628	950	0.4000	3,1,3	0.5000	55
5235	1925.7874	-0.1134	900	0.4000	0,1,3	0.5000	7
5331	1779.0199	0.0780	850	0.4000	2,0,0	0.5000	32
5421	1697.3232	-0.2492	800	0.4000	3,2,3	0.5000	59
5517	2198.4373	-0.0501	750	0.4000	0,3,2	0.5000	14
5617	1776.0244	0.3660	700	0.4000	1,3,0	0.5000	28
5724	1856.7124	0.4495	650	0.4000	0,2,3	0.5000	11
5823	1702.2384	-0.0319	600	0.4000	1,2,2	0.5000	26
5911	1744.0037	0.4482	550	0.4000	0,3,3	0.5000	15
6019	1661.8231	-0.0030	500	0.4000	2,0,1	0.5000	33
6134	1349.3029	0.1508	450	0.4000	2,3,3	0.5000	47
6238	1767.7103	-0.1553	400	0.4000	2,0,3	0.5000	35
6346	1237.9231	-0.2715	350	0.4000	3,3,3	0.5000	63
6440	1466.5216	-0.0263	300	0.4000	3,2,1	0.5000	57
4294969306	766.9310	0.2925	200	0.4000	2,2,0	0.5000	40
6653	948.5770	0.1978	150	0.4000	1,1,2	0.5000	22
6767	784.4248	0.4676	100	0.4000	2,3,1	0.5000	45
6894	553.0556	0.3830	50	0.4000	1,2,0	0.5000	24

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
25769804609	488	17179870015	-0.0573	5636	5912
25769804503	508	17179870015	0.1424	5638	5902
4670	1581	4593	-0.0587	1259	5871
4669	3405	4593	0.0697	1262	5960
8589935315	478	492	-0.0000	5952	48
6604	1319	6346	0.4512	231	5969
721	492	495	-0.1956	5992	5877
12884902450	492	17179870015	-0.0900	5640	5910
8589935067	495	8589935433	-0.2745	5717	5996
4668	2572	4593	-0.2112	1262	5867
4667	4593	4294968449	-0.1862	1262	5970
