# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance
10277	17732.7891	-0.1615	11750	0.4000
10441	16896.8594	-0.1852	11700	0.4000
10562	18637.5645	0.2393	11650	0.4000
10703	23437.5039	0.4793	11600	0.4000
10854	19237.2812	0.2092	11550	0.4000
10997	17243.9473	-0.1531	11500	0.4000
11139	17185.8789	-0.0681	11450	0.4000
11272	23049.5586	0.4897	11400	0.4000
11440	19061.0977	0.3389	11350	0.4000
11574	22284.3164	0.3652	11300	0.4000
11703	20790.2109	0.4351	11250	0.4000
11848	17196.0840	0.0759	11200	0.4000
11997	22148.7695	0.4399	11150	0.4000
12130	15238.2842	-0.2372	11100	0.4000
12288	16871.7090	0.0232	11050	0.4000
12440	19394.7852	0.2990	11000	0.4000
12604	16478.6641	0.1449	10950	0.4000
12766	18560.5273	0.2622	10900	0.4000
12917	15566.8652	-0.1007	10850	0.4000
13068	15336.3066	0.0851	10800	0.4000
13226	15316.7930	0.1320	10750	0.4000
13375	21346.0938	0.3967	10700	0.4000
13542	18348.7754	0.0748	10650	0.4000
13702	16383.0117	0.0678	10600	0.4000
13859	19205.1289	0.3891	10550	0.4000
14024	16096.4863	0.0345	10500	0.4000
14184	15105.6982	-0.0240	10450	0.4000
14332	13515.1963	-0.1425	10400	0.4000
14481	18513.0391	0.2668	10350	0.4000
14637	16561.7715	0.0743	10300	0.4000
14804	16809.3379	0.0045	10250	0.4000
14961	13051.4199	-0.0117	10200	0.4000
15114	14686.8281	-0.0220	10150	0.4000
15287	15364.2529	-0.2019	10100	0.4000
15444	14500.0625	-0.0950	10050	0.4000
15625	17375.8828	0.4075	10000	0.4000
15791	19481.2227	0.3674	9950	0.4000
15958	16006.9297	0.0909	9900	0.4000
16122	13356.7588	-0.1940	9850	0.4000
16282	14141.7441	-0.1628	9800	0.4000
16449	12159.8057	-0.0271	9750	0.4000
16631	14035.3184	-0.2411	9700	0.4000
16813	15766.8525	0.2854	9650	0.4000
17003	16203.9688	0.1543	9600	0.4000
17169	12428.6016	-0.1571	9550	0.4000
17341	14621.1367	-0.1772	9500	0.4000
17523	14847.0977	0.2081	9450	0.4000
17728	13629.0156	0.1382	9400	0.4000
17919	15052.5215	0.2346	9350	0.4000
18106	15833.9160	0.3215	9300	0.4000
18278	12579.0576	-0.0363	9250	0.4000
18457	13077.9707	0.0181	9200	0.4000
18636	15834.0283	0.2595	9150	0.4000
18836	16560.3301	0.4010	9100	0.4000
19026	12774.9922	-0.1625	9050	0.4000
19237	16168.7998	0.3172	9000	0.4000
19430	14058.1816	-0.1096	8950	0.4000
19630	11680.5059	-0.2708	8900	0.4000
19838	12031.4531	-0.1207	8850	0.4000
20028	11930.3252	0.0183	8800	0.4000
20226	14526.6367	0.2199	8750	0.4000
20413	18322.5645	0.4823	8700	0.4000
20624	14240.2539	0.0662	8650	0.4000
20819	14144.3955	0.3579	8600	0.4000
21017	11877.2861	-0.2797	8550	0.4000
21226	15196.9180	0.4832	8500	0.4000
21421	11326.7852	-0.2161	8450	0.4000
21615	13320.9277	0.3492	8400	0.4000
21821	11823.9707	-0.0448	8350	0.4000
22021	12988.3076	0.2341	8300	0.4000
22218	13332.3477	0.2865	8250	0.4000
22433	12198.4238	-0.1300	8200	0.4000
22633	11557.5020	-0.1753	8150	0.4000
22823	11277.2939	-0.0873	8100	0.4000
23032	10629.7500	-0.0477	8050	0.4000
23247	10719.2539	-0.0209	8000	0.4000
23449	12208.5469	0.1680	7950	0.4000
23666	13948.8145	0.3958	7900	0.4000
23862	10917.8516	-0.2254	7850	0.4000
24079	13778.2109	0.4243	7800	0.4000
24275	11912.9785	0.1695	7750	0.4000
24488	12867.2598	0.2888	7700	0.4000
24716	11579.0156	-0.1391	7650	0.4000
24914	11574.9062	-0.2381	7600	0.4000
25119	11869.4365	0.1107	7550	0.4000
25347	12637.7939	0.1595	7500	0.4000
25561	11528.7363	0.1711	7450	0.4000
25790	12694.9873	0.4229	7400	0.4000
26008	9342.6836	0.0875	7350	0.4000
26262	10959.6406	0.0796	7300	0.4000
26466	9341.8604	-0.0599	7250	0.4000
26682	12204.5430	0.3504	7200	0.4000
26922	10435.6318	-0.0141	7150	0.4000
27158	11378.6055	0.2189	7100	0.4000
27370	12922.9014	0.4622	7050	0.4000
27622	9512.5850	-0.1106	7000	0.4000
27856	11429.4385	0.1444	6950	0.4000
28087	9793.2051	-0.0097	6900	0.4000
28313	13331.1895	0.4797	6850	0.4000
28555	14290.3467	0.4808	6800	0.4000
28781	10234.9980	-0.2653	6750	0.4000
29016	9221.1299	-0.2995	6700	0.4000
29252	8751.5820	-0.1890	6650	0.4000
29481	9542.0547	-0.0303	6600	0.4000
29727	10117.3242	0.0722	6550	0.4000
29980	9518.6641	-0.1165	6500	0.4000
30221	10112.3965	0.0997	6450	0.4000
30476	9396.1270	0.2253	6400	0.4000
30710	8114.9980	-0.2103	6350	0.4000
30927	10092.4873	0.0888	6300	0.4000
31155	11091.3770	0.2755	6250	0.4000
31382	8659.7168	-0.1445	6200	0.4000
31638	9268.1367	0.1343	6150	0.4000
31915	9246.1836	-0.1341	6100	0.4000
32134	8611.7363	-0.2190	6050	0.4000
32363	10505.7129	0.3047	6000	0.4000
32622	8360.4531	-0.0007	5950	0.4000
32855	7811.7900	-0.1120	5900	0.4000
33115	11696.2070	0.4491	5850	0.4000
33340	8688.2617	0.0515	5800	0.4000
33583	8307.2705	0.0043	5750	0.4000
33863	7717.9385	-0.1210	5700	0.4000
34120	9099.6348	0.2692	5650	0.4000
34375	11095.7598	0.3965	5600	0.4000
34624	10141.0039	0.3639	5550	0.4000
34856	8983.0430	0.2705	5500	0.4000
35132	9316.7461	0.3122	5450	0.4000
