# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	17685.4727	0.3535	4001	0.4000
476	18355.4375	0.1505	4001	0.4000
477	16714.0137	0.0672	4001	0.4000
478	14400.4648	-0.2501	4001	0.4000
479	19512.3496	0.4062	4001	0.4000
480	17251.9727	0.1820	4001	0.4000
481	14682.4180	0.0362	4001	0.4000
482	16361.7930	0.1083	4001	0.4000
483	18540.6348	0.3881	4001	0.4000
484	19230.9414	0.3295	4001	0.4000
485	14667.1250	-0.0857	4001	0.4000
486	15027.5811	0.0506	4001	0.4000
487	16166.8096	0.1805	4001	0.4000
488	17450.7676	0.3488	4001	0.4000
489	14012.7920	-0.2702	4001	0.4000
490	16724.3789	0.3627	4001	0.4000
491	18230.3945	0.3531	4001	0.4000
492	18053.2656	0.4483	4001	0.4000
493	14888.1357	0.1472	4001	0.4000
494	14259.4658	-0.0788	4001	0.4000
658	15862.0381	0.1627	3950	0.4000
699	12846.1377	-0.1374	3900	0.4000
719	11237.5918	-0.2379	3850	0.4000
738	17820.8516	0.4453	3800	0.4000
765	13422.5078	0.1304	3750	0.4000
789	15357.8857	0.2903	3700	0.4000
819	13856.7871	0.1452	3650	0.4000
841	13294.8848	0.0435	3600	0.4000
870	13119.2754	0.2187	3550	0.4000
896	14611.0391	0.3990	3500	0.4000
921	12708.6680	0.1386	3450	0.4000
954	16041.3311	0.4982	3400	0.4000
985	15032.0508	0.3623	3350	0.4000
1018	11037.6270	0.0939	3300	0.4000
1050	12614.9053	0.2954	3250	0.4000
1087	8963.8643	-0.0748	3200	0.4000
1114	9287.8750	0.1448	3150	0.4000
1148	11742.2402	0.2965	3100	0.4000
1184	9918.3555	-0.0927	3050	0.4000
1219	10495.0801	-0.0178	3000	0.4000
1255	8757.8457	-0.2533	2950	0.4000
1288	8861.0889	-0.0451	2900	0.4000
1328	8303.7969	0.0659	2850	0.4000
1373	11693.5674	0.4288	2800	0.4000
1405	9164.4814	0.2095	2750	0.4000
1454	11545.5449	0.4615	2700	0.4000
1502	7938.3096	0.0212	2650	0.4000
1550	7800.3154	-0.2005	2600	0.4000
1592	7336.1226	-0.0345	2550	0.4000
1641	7579.5425	0.1195	2500	0.4000
1691	5536.4185	-0.2580	2450	0.4000
1748	8357.2998	0.4186	2400	0.4000
1797	5871.3267	0.2156	2350	0.4000
1837	6090.6450	-0.1455	2300	0.4000
1886	7368.8511	0.1014	2250	0.4000
1935	4603.9585	-0.0609	2200	0.4000
1995	7518.0537	0.2927	2150	0.4000
2048	5486.7930	-0.0721	2100	0.4000
2105	5268.0068	0.1035	2050	0.4000
2153	4867.0308	-0.1700	2000	0.4000
2208	5401.8618	-0.0250	1950	0.4000
2259	7415.9062	0.4014	1900	0.4000
2316	5430.0947	0.1602	1850	0.4000
2374	5940.3711	0.3722	1800	0.4000
2447	4007.6794	-0.2070	1750	0.4000
2511	3287.9504	0.0638	1700	0.4000
