# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance
521	475	477	-0.0479	11997	11729
4294967918	478	664	-0.2064	11871	11986
523	475	487	-0.0118	11997	11486
8589939439	8589935842	8589939198	-0.1343	1273	11872
525	476	491	0.1578	11997	11782
526	476	492	-0.1842	11997	11826
527	490	493	0.1286	11997	11999
674	483	492	0.3824	11937	11828
529	477	491	-0.1471	11996	11685
530	480	491	0.2325	11996	11914
679	483	664	-0.3179	11930	11917
7820	7734	30064772564	0.3127	413	11933
7278	7176	4294972445	0.2828	1957	11979
534	487	488	-0.1189	11996	11682
535	479	490	0.4457	11996	11911
7277	476	7176	-0.0020	1958	11931
537	475	479	-0.0652	11995	11400
538	485	491	-0.2711	11995	11942
539	484	486	-0.0373	11995	11531
540	479	488	0.0333	11995	11897
541	476	490	-0.0562	11995	11808
542	476	484	0.1048	11994	11944
4294969523	5370	4294972717	0.0607	4424	11807
672	477	485	-0.1573	11943	11984
671	476	664	0.2349	11943	11961
546	475	484	-0.2907	11994	11818
8589936297	4294970728	4294974231	-0.1210	49	11951
548	477	479	-0.1214	11993	11720
549	479	485	0.0185	11993	11922
550	483	484	-0.1740	11993	11799
551	478	490	0.1087	11993	11913
552	486	491	0.3853	11993	11864
553	475	493	-0.0399	11993	11623
554	476	480	-0.1941	11992	11816
555	477	490	-0.2263	11992	11991
556	479	480	-0.2899	11992	11958
695	490	664	-0.2596	11896	11896
558	480	487	-0.3242	11992	11975
559	491	492	-0.1318	11992	11758
7276	2129	7176	0.0274	1959	11973
561	475	492	-0.1522	11991	11864
562	483	485	-0.0730	11991	11935
563	484	485	-0.1474	11991	11636
4294967939	485	486	-0.1527	11879	11914
17179874598	478	8589936888	-0.1079	672	11943
566	486	487	-0.1834	11990	11863
682	480	664	-0.2824	11927	11926
568	479	491	-0.1555	11989	11612
569	484	491	-0.1532	11989	11875
7274	795	4294973627	0.1042	1960	11996
571	486	492	-0.0251	11989	11377
6930	488	6820	0.0117	2653	11666
573	475	490	-0.2597	11989	11970
574	477	492	-0.1807	11989	11825
575	480	493	-0.0276	11989	11924
12884907885	7407	7607	-0.1134	404	11946
4294970115	4294974231	8589935992	-0.1293	16	11984
578	477	480	0.1417	11988	11987
579	476	487	-0.1262	11988	11929
7271	6820	7176	-0.1205	1962	11857
581	488	492	-0.1904	11988	11771
582	477	478	-0.1382	11987	11902
583	478	483	0.0329	11987	11581
584	475	480	0.0576	11987	11861
7270	6155	7176	-0.1473	1962	11956
8589940656	4294968036	8589936166	-0.1898	1273	11817
587	488	490	-0.0946	11987	11896
12884903848	4294974231	8589939313	0.3088	5	11995
589	480	488	-0.2547	11986	11992
590	475	476	-0.2431	11985	11973
7268	483	7176	-0.1319	1965	11487
592	486	490	-0.2477	11985	11900
593	484	490	-0.1450	11984	11888
594	476	483	-0.1156	11983	11836
595	488	493	-0.1643	11983	11810
7267	664	7176	0.0347	1966	11799
597	492	493	-0.2209	11983	11887
4294967955	488	664	0.0718	11883	11846
599	479	492	-0.1958	11982	11705
600	478	491	-0.1543	11981	11717
601	479	484	-0.0649	11981	11437
602	490	491	-0.0449	11981	11936
603	480	483	-0.1525	11980	11583
604	484	493	-0.1501	11980	11721
4294970124	4294973987	12884906441	0.1383	18	11982
606	479	486	-0.1028	11979	11916
7402	6820	7372	-0.1828	1790	11969
608	484	488	-0.1415	11979	11950
609	477	484	-0.2121	11978	11966
683	486	488	-0.2047	11926	11987
611	477	493	-0.2563	11977	11963
612	477	483	-0.2064	11977	11855
613	480	486	-0.0040	11977	11575
8589940655	8589936166	8589940965	-0.1087	1275	11903
615	476	478	-0.0156	11976	11980
616	476	479	-0.3344	11976	11951
617	483	493	0.5284	11976	11986
618	483	488	-0.2031	11976	11910
619	487	492	0.0529	11976	11668
669	492	664	-0.2088	11945	11789
621	478	480	-0.1170	11975	11735
690	479	664	-0.1045	11910	11859
8589940652	4294969856	12884906909	-0.0231	1275	11213
8589940648	5370	8589939198	0.1765	1275	11819
625	478	493	-0.3948	11975	11994
626	486	493	-0.0426	11974	11328
627	484	492	-0.0421	11974	11598
17179873588	478	7407	0.0518	409	11742
629	491	493	0.1363	11973	11607
630	475	486	-0.2450	11972	11921
681	485	493	-0.1333	11928	11530
632	480	492	0.1016	11972	11910
633	475	478	-0.0847	11971	11638
689	478	492	-0.0390	11917	11736
635	487	491	-0.0404	11970	11447
636	478	488	-0.1011	11970	11774
688	478	484	0.3248	11920	11987
7401	6155	8589935842	-0.0697	1791	11878
639	479	487	-0.1988	11965	11856
640	479	483	0.0278	11965	11347
641	477	486	-0.1479	11965	11738
642	490	492	0.0472	11965	11976
686	478	479	-0.0253	11925	11870
644	485	488	-0.2704	11963	11953
645	484	487	0.0221	11963	11570
646	476	485	-0.0408	11962	11938
685	477	664	-0.2406	11926	11980
17179872185	664	7512	0.0139	410	11837
649	483	491	-0.1509	11962	11813
650	483	490	-0.2027	11961	11951
651	478	487	-0.2601	11960	11936
652	476	477	0.0075	11958	11893
653	485	487	-0.1666	11958	11963
8589936222	1771	12884908438	0.0795	192	11946
655	480	484	-0.1202	11956	11821
656	477	487	-0.0629	11956	11251
657	476	488	-0.1901	11955	11946
658	478	485	-0.1836	11955	11519
684	491	664	-0.2480	11926	11920
680	476	486	-0.0842	11929	11861
8589940631	4790	12884906909	0.1726	1276	11831
21474839867	7607	4294968456	-0.2278	411	11928
663	487	493	-0.0267	11950	11877
665	487	664	-0.0985	11949	11654
666	479	493	-0.1784	11947	11765
4294967989	487	4294967969	-0.0563	11846	11918
8589935074	478	4294967969	-0.2097	11845	11926
8589935073	477	4294967969	-0.0732	11844	11648
8589935286	476	4294967969	-0.1125	11842	11818
8589935283	484	4294967969	-0.0144	11842	11341
8589935230	479	4294967969	-0.0554	11841	11699
4294967992	491	4294967969	0.1538	11840	11876
8589935226	488	4294967969	-0.1897	11839	11823
4294967994	475	4294967969	-0.2738	11838	11840
4294967995	480	4294967969	-0.0659	11837	11965
8589935177	492	4294967969	-0.0255	11835	11757
4294967996	493	4294967969	-0.0378	11830	11871
4294967997	664	4294967969	0.1907	11823	11964
8589935159	490	4294967969	-0.1585	11805	11758
7263	485	7176	-0.4217	1967	11998
4294967927	483	4294967969	-0.1178	11801	11939
4294967916	486	4294967924	0.0164	11799	11820
4294967901	485	4294967969	0.3875	11798	11990
4294967894	664	4294967924	-0.0949	11797	11654
4294967866	484	4294967924	-0.1241	11792	11901
4294967860	490	4294967924	-0.0725	11789	11309
4294974874	7512	8589939360	-0.1857	411	11665
8589935988	7607	4294970245	-0.0534	304	11936
4294967827	477	4294967924	-0.0053	11781	11825
4294974878	7734	12884903191	0.4963	411	11993
4294967811	475	4294967924	-0.0237	11780	11972
4294967805	476	4294967924	-0.1012	11778	11873
4294967801	480	4294967924	-0.1110	11776	11715
4294967794	492	4294967924	-0.1674	11774	11908
4294967792	483	4294967924	-0.0294	11772	11741
4294967828	487	4294967924	0.5517	11765	11925
4294967824	485	4294967924	-0.1625	11759	11875
4294967808	4294967924	4294967969	0.1413	11754	11942
8589940262	4790	4294967983	0.0160	1486	10514
4294967798	485	4294967803	-0.1242	11749	11532
8589940109	4294969961	12884905209	-0.0992	215	11964
704	483	4294967803	-0.0270	11746	11920
705	487	4294967803	-0.0727	11745	11531
21474841704	4294968456	17179875804	-0.1503	405	11663
707	4294967803	4294967924	-0.1091	11743	11900
708	488	4294967924	-0.2204	11740	11943
