# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	7678.4727	0.3535	16001	0.4000
8589941028	2676.5483	0.4920	1550	0.4000
477	384.0137	0.0672	16001	0.4000
478	2995.4648	-0.2501	16001	0.4000
479	13133.3496	0.4062	16001	0.4000
480	4652.9717	0.1820	16001	0.4000
4294967969	5741.6094	0.2876	15850	0.4000
664	4659.0381	0.1627	15950	0.4000
483	9126.6348	0.3881	16001	0.4000
484	6189.9414	0.3295	16001	0.4000
30064777539	382.5224	-0.1199	1250	0.4000
486	2170.5811	0.0506	16001	0.4000
8607	1.4701	0.1039	2400	0.4000
488	9749.7676	0.3488	16001	0.4000
17179873570	981.0024	0.2917	3850	0.4000
490	6545.3789	0.3627	16001	0.4000
491	7569.3945	0.3531	16001	0.4000
492	11546.2656	0.4483	16001	0.4000
493	2761.1357	0.1472	16001	0.4000
12884908225	525.6082	-0.2471	2700	0.4000
4294967924	1271.1753	-0.2230	15800	0.4000
4294967803	14636.0488	0.4920	15750	0.4000
4294968036	10893.8867	0.3417	15550	0.4000
7512	2207.0017	0.3689	4550	0.4000
4294968065	3718.9116	0.2233	15400	0.4000
795	1260.3301	-0.1428	15350	0.4000
4294967959	608.7849	0.0253	1900	0.4000
8589942408	40.5894	-0.0761	200	0.4000
869	6218.5171	0.2408	15200	0.4000
30064774512	672.8210	-0.2395	2750	0.4000
5175	1666.1519	0.4022	9050	0.4000
4294968200	3308.1909	0.3778	15000	0.4000
8589935811	741.4521	0.3209	750	0.4000
1234	2854.0215	0.2248	14550	0.4000
1054	2466.2456	0.0144	14850	0.4000
1155	2981.1689	0.3047	14700	0.4000
1269	7154.8887	0.3791	14450	0.4000
4294975297	1037.9868	0.3325	2650	0.4000
21474840444	865.1667	0.3099	1700	0.4000
12884907858	1952.2509	0.3768	2000	0.4000
4294968439	1587.3386	0.3085	14400	0.4000
4294971641	529.5535	0.1743	700	0.4000
8589942884	1251.8962	0.0449	1750	0.4000
4294968799	3988.3848	0.3308	13650	0.4000
8589935992	4420.8286	0.2767	14000	0.4000
17179874870	189.5200	0.0035	1100	0.4000
8589939198	2606.5283	0.4764	5400	0.4000
12884904876	1231.3523	0.2222	3100	0.4000
12884903191	3052.8237	0.2081	13600	0.4000
7734	1138.9414	0.3031	4450	0.4000
4294968986	1469.2427	0.3703	13400	0.4000
1771	158.4346	0.3486	13350	0.4000
8461	960.4592	0.0802	2800	0.4000
1865	4036.4536	0.4627	13250	0.4000
25769807591	307.0134	0.0981	400	0.4000
4294969313	4714.7637	0.3858	13050	0.4000
4294972154	1774.9722	0.4182	7050	0.4000
8589939313	1193.7463	0.4120	5050	0.4000
2129	1333.1008	0.3794	12850	0.4000
12884908205	215.6057	0.0900	2300	0.4000
8589941754	1104.5438	0.2190	850	0.4000
7407	1583.2019	0.3528	4600	0.4000
8589937075	5173.6982	0.2897	12500	0.4000
4294973483	1038.6228	0.4739	5000	0.4000
2933	5849.6812	0.4590	11950	0.4000
8589936976	2489.2412	0.3103	12250	0.4000
8589942422	494.3737	0.1767	950	0.4000
4294975574	334.2222	-0.0027	1050	0.4000
25769807500	23.1959	0.1886	3600	0.4000
2805	2653.4380	0.3226	12050	0.4000
4294975158	585.0577	0.2340	350	0.4000
4294969856	3994.7036	0.3961	11850	0.4000
7372	425.4193	0.3749	5800	0.4000
12884902540	474.7701	-0.2808	550	0.4000
8589940452	421.5154	0.0093	3150	0.4000
4294971634	3084.4224	0.4741	9900	0.4000
3445	975.7349	0.2797	11500	0.4000
4294970728	2717.3120	0.3617	11300	0.4000
12884905753	129.2188	0.4097	3950	0.4000
4294970544	656.5344	0.2798	11050	0.4000
4790	1920.2969	0.4134	9650	0.4000
8589937836	7317.2407	0.4845	10650	0.4000
4294969590	97.8113	0.3158	10550	0.4000
21474840302	460.5474	0.1303	2450	0.4000
4294973455	1245.8757	0.2631	3350	0.4000
6934	677.6523	0.3805	6500	0.4000
8589941120	1282.3073	0.2927	2150	0.4000
8589939109	611.4272	0.3732	9300	0.4000
21474838409	132.7472	-0.1633	1000	0.4000
8589941248	1129.0420	0.4831	5250	0.4000
8589937444	2183.3774	0.3762	3900	0.4000
12884909109	74.8217	-0.1255	1950	0.4000
4294970493	2198.8638	0.4563	9100	0.4000
8589940978	604.2419	0.0885	900	0.4000
12884906909	1577.4308	0.3844	5450	0.4000
8719	1014.6550	0.2959	2350	0.4000
8589942238	868.0282	0.1311	600	0.4000
4294972221	843.7567	0.4209	8950	0.4000
5370	1917.2168	0.4720	8800	0.4000
25769806620	282.7252	0.1316	1150	0.4000
17179876481	595.8064	0.0430	1600	0.4000
4294973593	781.9478	0.3283	5300	0.4000
8589940840	40.0946	-0.0390	1850	0.4000
7966	1371.9425	0.4666	3200	0.4000
8817	2397.2832	0.4856	2250	0.4000
12884906577	912.5126	0.4448	2500	0.4000
8589940658	1271.8950	0.3713	1800	0.4000
25769807441	299.5175	-0.0556	3400	0.4000
4294972445	1914.9509	0.4666	7400	0.4000
8589940965	1997.4028	0.3877	6650	0.4000
12884904994	982.4092	0.0344	1400	0.4000
8589936881	447.1348	0.0457	2600	0.4000
4294969561	622.3527	0.0946	2200	0.4000
8589942394	1102.2700	0.4309	450	0.4000
8589940415	1299.1902	0.3443	6350	0.4000
8092	1293.1772	0.1127	2950	0.4000
12884908101	361.9751	0.1984	3750	0.4000
8219	539.4984	0.0708	2900	0.4000
12884907566	371.0860	0.1114	2550	0.4000
12884905217	1666.6102	0.3934	3550	0.4000
8589940663	763.8596	0.3427	3000	0.4000
21474843183	1104.9927	0.1149	1300	0.4000
25769804711	73.0592	-0.0105	800	0.4000
8589940690	783.2154	-0.0701	650	0.4000
17179871144	470.7688	-0.1060	500	0.4000
8589936341	858.1300	0.4915	300	0.4000
12884907166	506.0303	0.4247	250	0.4000
17179871585	183.4405	-0.2805	150	0.4000
25769804859	304.0148	0.4242	100	0.4000
4294975585	153.6868	-0.2847	50	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
17179876327	4294972221	21474840444	0.0316	1649	15951
4294967840	475	491	-0.2708	15861	15979
12884908569	8719	30064777539	-0.1975	1229	15779
4294967853	486	664	0.0257	15863	15670
4294967796	8589942394	12884907858	0.5440	423	15908
4294974570	2933	30064777539	0.1670	1229	15922
501	483	486	-0.1231	16000	15519
4294967956	486	4294967969	-0.1022	15847	15695
17179876276	7512	7734	-0.0475	4404	15231
504	477	488	0.1359	15999	15969
667	484	664	-0.1429	15947	15588
8589940017	488	4294973593	-0.0849	5273	15677
21474843412	4294975158	12884909109	-0.0925	313	15925
677	493	664	-0.0651	15933	15786
676	475	488	-0.1830	15934	15942
8589940476	8817	30064777539	0.2954	1230	15923
4294971992	8589937444	8589937836	0.1587	3840	15918
675	475	664	-0.0307	15936	15372
513	475	483	-0.1938	15998	15838
514	480	490	-0.1588	15998	15932
4294967906	478	486	0.2436	15870	15816
21474839036	12884906909	25769806620	-0.1880	1126	15841
4294972958	664	8589940965	0.0180	6606	15800
12884904302	8817	12884907566	-0.2238	2088	15906
25769807517	475	17179876481	-0.0976	1565	15809
520	488	491	-0.0338	15998	15707
521	475	477	-0.1938	15997	15873
4294967918	478	664	0.2130	15871	15776
12884902925	4294969561	8589940452	-0.2764	2088	15999
12884907335	4294967959	12884903191	-0.1086	1857	15556
8589941627	8589941028	25769807441	0.1133	1543	15716
8589941863	6934	4294975574	-0.2697	1014	15939
527	490	493	0.0082	15997	15943
674	483	492	-0.1751	15937	15944
529	477	491	0.1777	15996	15806
530	480	491	-0.1712	15996	15931
679	483	664	0.9138	15930	15955
25769807856	492	8589940658	-0.1923	1728	15873
12884907799	4294970493	30064777539	-0.1360	1126	15874
4294974821	479	12884907483	0.0049	2065	13935
535	479	490	-0.2405	15996	15942
12884908679	8719	12884904994	-0.0334	1364	15770
537	475	479	-0.0217	15995	15913
4294974544	12884907858	30064777539	0.0561	1231	15585
539	484	486	-0.2377	15995	15782
540	479	488	-0.2997	15995	15852
25769804868	476	8589940840	0.0019	1649	14351
12884907617	8092	8589940658	-0.0538	1650	15743
4294971821	490	8589937444	-0.0982	3840	15778
17179870755	8817	4294971641	0.5280	559	15890
12884907632	8589942884	30064774512	-0.0131	1650	14901
546	475	484	-0.1477	15994	15921
4294975204	21474840302	30064777539	0.0874	1014	15846
548	477	479	-0.0242	15993	15703
21474838381	7372	30064777539	-0.1491	1231	15864
550	483	484	-0.0772	15993	15530
551	478	490	-0.2300	15993	15796
552	486	491	0.0466	15993	15718
553	475	493	-0.1045	15993	15795
12884902594	480	21474840444	-0.1371	1650	15870
555	477	490	0.0453	15992	15995
556	479	480	-0.1454	15992	15988
695	490	664	0.0175	15896	15566
12884908959	4294967924	8589941120	-0.0748	2088	15560
559	491	492	-0.1066	15992	15544
21474838987	869	7966	-0.1295	3165	15775
561	475	492	-0.2796	15991	15898
17179874798	8589937075	8589941028	0.0453	1231	15921
17179871595	4294969561	8589941754	0.3263	559	15977
21474839462	4790	21474843183	-0.0995	1232	15875
8589937043	4294973455	8589940452	-0.1351	3104	15732
4294967974	4294973593	17179871144	0.4106	423	15958
682	480	664	-0.1678	15927	15592
568	479	491	-0.0738	15989	15973
569	484	491	0.1921	15989	15997
4294967806	5370	12884902540	0.8366	423	15971
571	486	492	-0.1867	15989	15979
12884903321	486	21474843183	-0.2131	820	15953
573	475	490	-0.1513	15989	15920
574	477	492	-0.3599	15989	15977
575	480	493	-0.1530	15989	15945
4294975498	8589940658	12884909109	-0.1808	1580	15674
4294975203	477	4294975574	-0.1482	1015	15813
578	477	480	-0.2647	15988	15973
12884908984	8817	8589941120	-0.0276	2089	15899
17179875176	8589936976	25769807500	-0.2465	3165	15953
581	488	492	-0.1252	15988	15954
582	477	478	0.0528	15987	15910
583	478	483	-0.1270	15987	15757
584	475	480	-0.2838	15987	15923
4294967812	12884902540	12884908205	-0.1633	423	15577
12884907549	4294967959	8589937836	-0.2157	1888	15910
587	488	490	-0.1441	15987	15757
21474837569	2805	4294975574	-0.1124	1016	15915
589	480	488	-0.3101	15986	15961
21474841339	8589940452	21474840444	-0.1565	1651	15955
17179874835	4294968200	12884902540	-0.0047	501	15802
592	486	490	-0.0517	15985	15166
593	484	490	-0.2054	15984	15959
4294975801	477	21474840444	-0.2657	1651	15871
595	488	493	-0.2007	15983	15878
17179873231	4294968986	12884908101	-0.3515	3167	15921
597	492	493	-0.3252	15983	15958
4294967955	488	664	-0.1841	15883	15933
599	479	492	-0.0019	15982	14994
600	478	491	-0.0521	15981	15986
601	479	484	-0.2087	15981	15788
602	490	491	0.0110	15981	15884
