# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	7557.4727	0.3535	14001	0.4000
476	310.4375	0.1505	14001	0.4000
477	1298.0137	0.0672	14001	0.4000
478	4046.4648	-0.2501	14001	0.4000
479	13706.3496	0.4062	14001	0.4000
480	5525.9717	0.1820	14001	0.4000
4294967969	7023.6094	0.2876	13850	0.4000
664	5727.0381	0.1627	13950	0.4000
483	10007.6348	0.3881	14001	0.4000
484	7198.9414	0.3295	14001	0.4000
485	544.1245	-0.0857	14001	0.4000
486	3151.5811	0.0506	14001	0.4000
8607	282.4701	0.1039	400	0.4000
488	10226.7676	0.3488	14001	0.4000
17179873570	941.0024	0.2917	1850	0.4000
490	7627.3789	0.3627	14001	0.4000
491	8618.3945	0.3531	14001	0.4000
492	12190.2656	0.4483	14001	0.4000
493	3372.1357	0.1472	14001	0.4000
12884908225	410.6082	-0.2471	700	0.4000
4294967924	2917.1753	-0.2230	13800	0.4000
4294967803	14364.0488	0.4920	13750	0.4000
4294968036	10511.8867	0.3417	13550	0.4000
7512	2766.0017	0.3689	2550	0.4000
4294968065	4353.9116	0.2233	13400	0.4000
795	2405.3301	-0.1428	13350	0.4000
8589936166	35.6137	0.1455	3350	0.4000
840	1893.4473	0.1299	13250	0.4000
869	6329.5171	0.2408	13200	0.4000
30064774512	681.8210	-0.2395	750	0.4000
5175	2169.1519	0.4022	7050	0.4000
4294968200	3831.1909	0.3778	13000	0.4000
987	647.8516	-0.0899	12950	0.4000
1234	4059.0215	0.2248	12550	0.4000
1054	3195.2456	0.0144	12850	0.4000
1155	3432.1689	0.3047	12700	0.4000
1269	7546.8887	0.3791	12450	0.4000
4294975297	833.9868	0.3325	650	0.4000
4294969961	267.8652	-0.0290	2350	0.4000
4294968456	38.1797	-0.1236	12500	0.4000
4294968439	2371.3386	0.3085	12400	0.4000
12884905209	629.3464	0.1873	2250	0.4000
30064772564	147.3125	0.1521	2900	0.4000
4294968799	4320.3848	0.3308	11650	0.4000
8589935992	5441.8286	0.2767	12000	0.4000
4294968911	644.0068	0.2742	11700	0.4000
8589939198	2332.5283	0.4764	3400	0.4000
8589940038	455.8087	-0.2088	2100	0.4000
12884903191	4053.8237	0.2081	11600	0.4000
7734	933.9414	0.3031	2450	0.4000
4294968986	1943.2427	0.3703	11400	0.4000
1771	1038.4346	0.3486	11350	0.4000
8461	674.4592	0.0802	800	0.4000
1865	4259.4536	0.4627	11250	0.4000
8589935699	796.4852	-0.0510	6200	0.4000
4294969313	5508.7637	0.3858	11050	0.4000
4294972154	2090.9722	0.4182	5050	0.4000
8589939313	1376.7463	0.4120	3050	0.4000
2129	2371.1008	0.3794	10850	0.4000
12884908205	426.6057	0.0900	300	0.4000
17179873444	860.4578	-0.2047	2750	0.4000
7407	2158.2019	0.3528	2600	0.4000
8589937075	5179.6982	0.2897	10500	0.4000
4294973483	1688.6228	0.4739	3000	0.4000
2933	5849.6812	0.4590	9950	0.4000
8589936976	3059.2412	0.3103	10250	0.4000
12884908438	715.7321	0.2074	2400	0.4000
